 7.45   7.95   8.55   8.75   9.05   9.55   9.55   9.75  10.05  10.25  10.45   9.95   9.25   8.15   8.05   6.65   5.25   4.55   3.65   2.95   2.55   3.25   4.25   5.65   7.45   7.95   8.55  
 9.05   9.65   9.85  10.35  11.15  11.15  11.85  12.15  12.25  12.25  12.05  11.65  11.05  10.25   9.15   8.45   7.75   5.95   4.85   4.05   3.65   4.25   5.85   8.25   9.05   9.65   9.85  
10.75  11.15  11.65  11.95  12.35  12.75  13.15  13.35  13.45  13.25  12.95  12.45  11.95  11.35  10.85  10.25   9.45   8.35   6.65   5.45   4.95   5.65   8.05   9.85  10.75  11.15  11.65  
11.55  11.95  12.35  12.75  13.15  13.55  13.95  14.25  14.25  13.95  13.65  13.15  12.65  12.15  11.65  11.15  10.65   9.85   8.35   6.85   6.15   7.35   9.55  10.75  11.55  11.95  12.35  
11.95  12.45  12.85  13.25  13.65  14.05  14.55  14.75  14.75  14.45  14.05  13.65  13.15  12.75  12.25  11.95  11.45  10.95   9.65   8.15   7.45   9.15  10.65  11.45  11.95  12.45  12.85  
12.15  12.55  12.95  13.35  13.75  14.25  14.65  14.95  14.85  14.65  14.25  13.85  13.45  13.15  12.75  12.45  12.05  11.65  10.95   9.85   9.65  10.45  11.15  11.75  12.15  12.55  12.95  
12.05  12.35  12.75  13.15  13.65  14.15  14.55  14.75  14.75  14.55  14.25  13.95  13.65  13.35  13.05  12.75  12.45  12.05  11.55  11.05  10.75  10.95  11.45  11.85  12.05  12.35  12.75  
11.75  11.95  12.25  12.65  13.15  13.65  14.15  14.35  14.35  14.25  13.95  13.75  13.55  13.35  13.15  12.95  12.65  12.35  11.95  11.45  11.15  11.25  11.55  11.65  11.75  11.95  12.25  
11.25  11.35  11.55  11.95  12.45  12.95  13.35  13.65  13.75  13.65  13.45  13.35  13.25  13.25  13.05  12.95  12.75  12.45  12.05  11.65  11.35  11.35  11.35  11.35  11.25  11.35  11.55  
10.65  10.55  10.75  11.05  11.55  11.95  12.35  12.55  12.75  12.65  12.65  12.55  12.65  12.75  12.75  12.65  12.55  12.35  12.05  11.65  11.35  11.25  11.15  10.95  10.65  10.55  10.75  
 9.85   9.55   9.55   9.95  10.25  10.65  10.95  11.25  11.35  11.25  11.25  11.55  11.75  12.05  12.15  12.25  12.15  12.05  11.85  11.55  11.25  10.95  10.75  10.35   9.85   9.55   9.55  
 8.75   8.35   8.15   8.25   8.55   8.85   9.05   9.05   9.15   9.45   9.35   9.05  10.15  10.95  11.35  11.55  11.65  11.65  11.55  11.25  10.95  10.65  10.15   9.55   8.75   8.35   8.15  
 7.65   6.85   6.65   6.75   6.95   7.15   6.85   6.25   6.45   6.35   6.85   7.05   8.15   9.35   9.55  10.35  10.95  11.05  11.05  10.85  10.55  10.15   9.35   8.85   7.65   6.85   6.65  
 6.35   6.05   5.65   5.35   5.25   5.05   4.45   4.55   4.45   4.65   4.65   5.05   5.75   6.75   8.05   8.05   9.25  10.25  10.45  10.35  10.05   9.65   8.65   7.65   6.35   6.05   5.65  
 5.45   4.85   4.25   3.85   3.85   3.65   3.35   3.25   3.15   2.85   3.15   3.65   4.15   4.95   5.75   6.85   8.05   8.45   9.65   9.75   9.55   8.75   7.85   6.55   5.45   4.85   4.25  
                                                                                                                                                                                             
                                                                                                                                                                                             
  345      0     15     30     45     60     75     90    105    120    135    150    165    180    195    210    225    240    255    270    285    300    315    330    345    360     15  
